"Year","area","season","ratioMean","ratioSE","deltaMean","deltaSE"
2011,"N","1",1027.87991682201,180.880763719328,792.364182092325,201.901019205698
2011,"N","2",408.388131445551,112.990058215805,458.50291859682,143.192062567442
2011,"N","3",273.018100386234,79.3897505903625,265.280581931005,99.7166066430101
2011,"N","4",518.134475562138,138.102261251569,908.52049040113,340.240790603504
2011,"S","1",582.482439389472,245.659173167378,590.754950713085,327.360385453649
2011,"S","2",445.115229407796,178.812315966168,666.491134319392,283.873166529055
2011,"S","3",23.0003297744381,11.0111989765229,18.0078988296841,15.3731357561576
2011,"S","4",511.417172218285,187.989380363538,899.370452196676,444.746680909184
2012,"N","1",941.164240669496,154.869682793741,773.964511042196,198.511037997024
2012,"N","2",638.646004098361,167.072214146254,673.613859302966,268.018980427025
2012,"N","3",308.882730504859,130.003143532097,429.688882652772,176.545291567779
2012,"N","4",92.7502848799943,52.1308990669104,84.3887337123783,50.2728570997854
2012,"S","1",274.297081218274,202.423627485238,165.249311926605,165.249311926605
2012,"S","2",137.666395122569,50.3512370538161,202.312527862978,67.1463806260412
2012,"S","3",90.5126224231217,57.6374152222331,153.864553350327,98.7300185151163
2012,"S","4",321.203842908447,71.7775953329703,320.510125469888,75.077727185301
2013,"N","1",810.7754208564,246.069997617055,1035.64533842341,370.293853533504
2013,"N","2",966.356082526104,79.3160908216835,900.457664025017,117.42356616569
2013,"N","3",152.183200519666,45.3250597710072,318.865037185297,189.438862294047
2013,"N","4",115.742999327935,27.1512882118695,58.7609907832913,38.474524555872
2013,"S","1",86.1713757658616,57.5863359629726,79.7991193797698,57.6714401298518
2013,"S","2",89.9922707865663,68.4756843168869,101.494934579484,67.9985051772975
2013,"S","3",78.0727112051913,55.3836876860357,61.2331990668096,45.2197016415068
2013,"S","4",102.533560909257,60.8828607020805,74.918874235474,51.1793343821348
2014,"N","1",497.236815068493,132.347514819777,475.57950727477,150.363102069215
2014,"N","2",213.778585225732,25.2157096834453,226.036178274361,31.6503103702498
2014,"N","3",205.739006660169,152.513656924121,341.083000257202,233.775988940329
2014,"N","4",109.135140602873,133.891299169466,144.659247624885,144.659247624885
2014,"S","1",167.36367482717,121.569414261566,119.260102125884,97.9862653048426
2014,"S","2",44.6411931851539,36.8386927446329,24.2224547655454,24.2224547655454
2014,"S","3",20.6981793781019,19.8948039799672,17.3592528882093,17.3592528882093
2014,"S","4",62.1576504892247,34.3889892998362,38.5939117661249,25.2656607291725
2015,"N","1",252.635498620093,69.1539855914402,214.060299686645,72.9762211158019
2015,"N","2",0,0,0,0
2015,"N","3",187.348585858586,111.492892811747,143.11350308642,109.304743477302
2015,"N","4",0,0,0,0
2015,"S","1",270.496823120036,100.506502776775,235.841884425836,91.3604799348619
2015,"S","2",55.17864013267,57.9240380961046,75.4483446712018,75.4483446712018
2015,"S","3",0,0,0,0
2015,"S","4",41.159362346704,44.2955969825938,51.4402122469783,51.4402122469783
2016,"N","1",512.084276904853,124.85110513841,406.085876748614,114.389684621335
2016,"N","2",0,0,0,0
2016,"N","3",398.750586417987,187.207734188866,348.75098034768,163.45667227905
2016,"N","4",176.687887260933,67.4021204671725,132.100114678899,77.808960853901
2016,"S","1",154.421003315554,119.966108502057,532.454994983844,410.489511860542
2016,"S","2",178.417437294147,219.188150412138,346.732459379616,346.732459379616
2016,"S","3",67.132514409089,40.4938436394887,74.9596196112245,41.1069955363481
2016,"S","4",52.9376364731571,26.9518295016495,54.0829252830074,24.1870760354872
2017,"N","1",461.83629919113,112.814318150072,409.153424139385,85.6237573909759
2017,"N","2",410.77197108906,280.77758781236,334.219871735124,209.469243620867
2017,"N","3",0,0,0,0
2017,"N","4",476.851665075197,453.251415294375,484.580186403917,451.31003542392
2017,"S","1",0,0,0,0
2017,"S","2",54.5113931216682,39.3808578258932,44.4873272728679,33.6187332104679
2017,"S","3",70.3580088821077,35.7115074934109,58.1732132246203,34.1752126284603
2017,"S","4",39.6760267702118,38.2374153447441,37.3386066547831,37.3386066547831
2018,"N","1",560.152605686262,110.094486285937,452.651564591159,93.7624330106468
2018,"N","2",59.7809607802449,23.8710361889528,45.0157092378071,28.6903527115509
2018,"N","3",214.648562485509,68.3558489934828,231.174777214694,92.6303278131714
2018,"N","4",335.822216456277,88.7046402012535,298.867486173756,66.99413494621
2018,"S","1",127.119969614833,96.3673765879148,309.758199399159,237.852242367909
2018,"S","2",195.14366317828,82.9349758631153,152.159182147465,75.6327609889261
2018,"S","3",78.6886391251519,46.9375670297366,79.4931054621135,51.0691420461508
2018,"S","4",110.092702251877,133.380521110602,201.14460952381,201.14460952381
